airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
KABE,06,24,7599,2316.2,150,45.7,asphalt,true,false,40.6469994,-75.4505997,394,51.3,0,0,40.6599999,-75.4292984,380,231.3,0,0,51.2
KABE,13,31,5800,1767.8,150,45.7,asphalt,true,false,40.655201,-75.4497986,383,123.1,0,0,40.6464996,-75.4321976,380,303.1,0,0,123.1
KABI,04,22,3678,1121.1,100,30.5,asphalt,true,false,32.4196014,-99.6948013,1751,52,0,0,32.4258003,-99.6854019,1762,232,0,0,52
KABI,17L,35R,7198,2194,150,45.7,asphalt,true,false,32.4085007,-99.6747971,1791,180,0,0,32.3886986,-99.6746979,1775,360,0,0,179.8
KABI,17R,35L,7208,2197,150,45.7,asphalt,true,false,32.4281006,-99.6848984,1757,180,0,0,32.4082985,-99.6847992,1785,360,0,0,179.8
KABQ,03,21,10000,3048,150,45.7,concrete,false,false,35.0222015,-106.6309967,5305,45,0,0,35.0416985,-106.6070023,5316,225,0,0,45.2
KABQ,08,26,13793,4204.1,150,45.7,concrete,false,false,35.0443001,-106.6220016,5315,90,0,0,35.0441017,-106.5759964,5355,270,0,0,90.3
KABQ,12,30,6000,1828.8,150,45.7,concrete,false,false,35.043499,-106.6210022,5312,129,0,0,35.0331993,-106.6050034,5314,309,0,0,128.2
KABQ,17,35,10000,3048,150,45.7,asphalt,false,true,35.057701,-106.611,5321,183,0,0,35.0303,-106.612999,5314,3,0,0,183.4
KABR,13,31,6901,2103.4,100,30.5,concrete,true,false,45.4552002,-98.4280014,1302,135.1,0,0,45.4417992,-98.4089966,1301,315.1,0,0,135.1
KABR,17,35,5500,1676.4,100,30.5,asphalt,true,false,45.4556007,-98.4273987,1302,180,0,0,45.4404984,-98.4272995,1298,360,0,0,179.7
KABY,05,23,6601,2012,150,45.7,asphalt,true,false,31.5296,-84.199699,196,42,0,0,31.5431,-84.185501,189,222,0,0,41.9
KABY,17,35,5200,1585,150,45.7,asphalt,true,false,31.5413,-84.199402,195,162,0,0,31.5277,-84.194199,196,342,0,0,161.9
KACB,02,20,5003,1524.9,100,30.5,asphalt,true,false,44.9819984,-85.2012024,622,17.4,0,0,44.9950981,-85.1955032,618,197.4,0,0,17.1
KACJ,05,23,6011,1832.2,100,30.5,asphalt,true,false,32.1044006,-84.1955032,466,46,0,0,32.1158981,-84.1816025,462,226,0,0,45.7
KACJ,10,28,3786,1154,75,22.9,asphalt,false,false,32.1119,-84.195503,471,91,0,0,32.111801,-84.183197,459,271,0,0,90.5
KACK,06,24,6303,1921.2,150,45.7,asphalt,true,false,41.2468987,-70.0725021,29,44.9,551,167.9,41.259201,-70.0562973,48,224.9,0,0,44.7
KACK,12,30,2696,821.7,50,15.2,asphalt,false,true,41.2528,-70.062202,35,107,0,0,41.250599,-70.052803,40,287,0,0,107.3
KACK,15,33,4500,1371.6,100,30.5,asphalt,true,false,41.2579994,-70.0607986,46,135,0,0,41.2501984,-70.050499,42,315,0,0,135.2
KACP,18,36,5000,1524,75,22.9,asphalt,true,false,30.7574005,-92.6884003,107,170,0,0,30.7436009,-92.6856003,107,350,0,0,170.1
KACQ,15,33,3399,1036,75,22.9,asphalt,true,false,44.0777016,-93.5558014,1126,154,0,0,44.0693016,-93.5501022,1119,334,0,0,154
KACT,01,19,7107,2166.2,150,45.7,asphalt,true,false,31.6035004,-97.2300034,508,14.2,0,0,31.6210995,-97.2247009,502,194.2,0,0,14.4
KACT,14,32,5103,1555.4,150,45.7,asphalt,true,false,31.6170998,-97.2388992,509,149.2,0,0,31.6032009,-97.2292023,507,329.2,0,0,149.3
KACV,01,19,4501,1371.9,150,45.7,asphalt,true,false,40.9724999,-124.112999,188,29.7,0,0,40.9832001,-124.1050034,208,209.7,0,0,29.4
KACV,14,32,6046,1842.8,150,45.7,asphalt,true,false,40.9856987,-124.112999,187,152.7,797,242.9,40.9710007,-124.1029968,221,332.7,0,0,152.8
KACY,04,22,6145,1873,150,45.7,paved,true,false,39.4496994,-74.5851974,61,27.9,0,0,39.4645996,-74.5748978,67,207.9,0,0,28.1
KACY,13,31,10001,3048.3,150,45.7,asphalt,true,false,39.4642983,-74.5910034,75,118.1,0,0,39.4514008,-74.5597,63,298.1,0,0,118.1
KACZ,09,27,4153,1265.8,75,22.9,asphalt,true,false,34.7173996,-78.0102997,39,85,0,0,34.7183991,-77.9970016,31,265,0,0,84.8
KADC,16,34,4007,1221.3,75,22.9,asphalt,true,false,46.4555016,-95.2133026,1369,163.8,0,0,46.4449997,-95.2086029,1357,343.8,0,0,162.9
KADG,05,23,5001,1524.3,100,30.5,asphalt,true,false,41.861599,-84.0847015,795,47,0,0,41.8708992,-84.0711975,799,227,0,0,47.2
KADG,11,29,1779,542.2,150,45.7,grs,false,false,41.8722992,-84.078598,798,107,0,0,41.8708,-84.0723038,797,287,0,0,107.7
